s(zh),pleasure

dg(jh),edge

ue(yuw),rescue

kn(n),knife

i(y),stallion

ch(sh),chandelier

ea(ey),steak

ph(f),phone

j(y),hallelujah

eigh(ey),sleigh

oi(oy),oil

oe(ow),toe

ear(er),earth

ue(uw),blue

ey(iy),key

ie(ay),pie

g(jh),age

ie(iy),chief

oy(oy),boy

ui(uw),suit

au(ao),because

ar(er),dollar

ew(uw),flew

igh(ay),night

aw(ao),macaw

wr(r),wrench

ou(uw),through

ge(jh),age

u(uh),put

oa(ow),boat

tch(ch),match

z(z),zipper

y(ih),gym

ai(eh),said

u(yuw),music

ir(er),fir

ey(ey),they

qu(kw),quick

ai(ey),rain

j(jh),jump

th(th),thumb

u(uw),tuna

ow(aw),cow

oo(uh),foot

ow(ow),show

ur(er),fur

ck(k),jack

ea(eh),head

oo(uw),room

ay(ey),play

c(s),cinder

y(y),yellow

y(ay),sky

ee(iy),feet

ch(ch),chair

ou(aw),couch

ea(iy),eat

or(er),labor

sh(sh),ship

o(ao),off

i(ah),modify

u(ah),umbrella

ng(ng),sing

a(ey),baby

i(ay),tiger

y(iy),candy

v(v),vase

e(iy),meter

k(k),kite

o(aa),octopus

a(aa),charge

g(g),goat

o(ah),button

er(er),her

h(hh),house

f(f),fish

p(p),pig

c(k),case

m(m),mat

w(w),watch

e(eh),egg

a(ah),align

b(b),bat

s(z),cheese

a(ae),apple

e(ah),modest

th(dh),that

r(r),rug

s(s),soap

l(l),lamp

d(d),dog

i(ih),ink

n(n),nail

t(t),tag

ci(sh),suspicion

si(sh),dimension

ssi(sh),passion

ti(sh),action

o(ow),rose

ei(ey),vein

ew(yuw),few

j(zh),maharajah

g(zh),massage

eu(yuw),feudal
